Time_[s],TwHt1ALxt_[m/s^2],TwHt1ALyt_[m/s^2],TwHt2ALxt_[m/s^2],TwHt2ALyt_[m/s^2],TwHt3ALxt_[m/s^2],TwHt3ALyt_[m/s^2],TwHt4ALxt_[m/s^2],TwHt4ALyt_[m/s^2],TwHt5ALxt_[m/s^2],TwHt5ALyt_[m/s^2],TwHt6ALxt_[m/s^2],TwHt6ALyt_[m/s^2],TwHt7ALxt_[m/s^2],TwHt7ALyt_[m/s^2],TwHt8ALxt_[m/s^2],TwHt8ALyt_[m/s^2],TwHt9ALxt_[m/s^2],TwHt9ALyt_[m/s^2],TwHt1MLxt_[kN-m],TwHt1MLyt_[kN-m],TwHt2MLxt_[kN-m],TwHt2MLyt_[kN-m],TwHt3MLxt_[kN-m],TwHt3MLyt_[kN-m],TwHt4MLxt_[kN-m],TwHt4MLyt_[kN-m],TwHt5MLxt_[kN-m],TwHt5MLyt_[kN-m],TwHt6MLxt_[kN-m],TwHt6MLyt_[kN-m],TwHt7MLxt_[kN-m],TwHt7MLyt_[kN-m],TwHt8MLxt_[kN-m],TwHt8MLyt_[kN-m],TwHt9MLxt_[kN-m],TwHt9MLyt_[kN-m]
0.1250,0.0082302872,0.011431221,0.016460574,0.022862443,0.024690862,0.034293664,0.032921149,0.045724886,0.041151436,0.057156107,0.049381723,0.068587329,0.05761201,0.08001855,0.065842297,0.091449771,0.074072585,0.10288099,48.678639,54.30919,97.357277,108.61838,146.03592,162.92757,194.71455,217.23676,243.39319,271.54595,292.07183,325.85514,340.75047,380.16433,389.42911,434.47352,438.10775,488.78271
0.1375,0.0089957341,0.012091748,0.017991468,0.024183495,0.026987202,0.036275243,0.035982936,0.04836699,0.044978671,0.060458738,0.053974405,0.072550486,0.062970139,0.084642233,0.071965873,0.096733981,0.080961607,0.10882573,52.204577,57.820466,104.40915,115.64093,156.61373,173.4614,208.81831,231.28186,261.02288,289.10233,313.22746,346.9228,365.43204,404.74326,417.63662,462.56373,469.84119,520.3842
0.1500,0.0097450025,0.012732108,0.019490005,0.025464216,0.029235008,0.038196324,0.03898001,0.050928432,0.048725013,0.06366054,0.058470015,0.076392648,0.068215018,0.089124756,0.07796002,0.10185686,0.087705023,0.11458897,55.643452,61.227754,111.2869,122.45551,166.93036,183.68326,222.57381,244.91102,278.21726,306.13877,333.86071,367.36653,389.50416,428.59428,445.14762,489.82203,500.79107,551.04979
0.1625,0.010476745,0.013351235,0.02095349,0.026702469,0.031430235,0.040053704,0.041906979,0.053404939,0.052383724,0.066756173,0.062860469,0.080107408,0.073337214,0.093458642,0.083813959,0.10680988,0.094290704,0.12016111,58.989529,64.524926,117.97906,129.04985,176.96859,193.57478,235.95812,258.09971,294.94764,322.62463,353.93717,387.14956,412.9267,451.67448,471.91623,516.19941,530.90576,580.72434
0.1750,0.011189645,0.013948095,0.02237929,0.02789619,0.033568935,0.041844285,0.044758581,0.05579238,0.055948226,0.069740475,0.067137871,0.08368857,0.078327516,0.097636665,0.089517161,0.11158476,0.10070681,0.12553286,62.237227,67.706052,124.47445,135.4121,186.71168,203.11816,248.94891,270.82421,311.18614,338.53026,373.42336,406.23631,435.66059,473.94237,497.89782,541.64842,560.13504,609.35447
0.1875,0.011882421,0.014521694,0.023764843,0.029043387,0.035647264,0.043565081,0.047529685,0.058086775,0.059412106,0.072608469,0.071294528,0.087130162,0.083176949,0.10165186,0.09505937,0.11617355,0.10694179,0.13069524,65.38113,70.765412,130.76226,141.53082,196.14339,212.29623,261.52452,283.06165,326.90565,353.82706,392.28678,424.59247,457.66791,495.35788,523.04904,566.12329,588.43017,636.8887
0.2000,0.012553827,0.015071074,0.025107654,0.030142148,0.037661482,0.045213222,0.050215309,0.060284297,0.062769136,0.075355371,0.075322963,0.090426445,0.087876791,0.10549752,0.10043062,0.12056859,0.11298445,0.13563967,68.415995,73.697502,136.83199,147.395,205.24799,221.0925,273.66398,294.79001,342.07998,368.48751,410.49597,442.18501,478.91197,515.88251,547.32796,589.58001,615.74396,663.27751
0.2125,0.013202656,0.01559532,0.026405311,0.03119064,0.039607967,0.04678596,0.052810622,0.06238128,0.066013278,0.0779766,0.079215933,0.09357192,0.092418589,0.10916724,0.10562124,0.12476256,0.1188239,0.14035788,71.336761,76.497049,142.67352,152.9941,214.01028,229.49115,285.34704,305.9882,356.6838,382.48525,428.02056,458.9823,499.35733,535.47934,570.69409,611.97639,642.03085,688.47344
0.2250,0.013827739,0.016093557,0.027655479,0.032187114,0.041483218,0.048280672,0.055310958,0.064374229,0.069138697,0.080467786,0.082966436,0.096561343,0.096794176,0.1126549,0.11062192,0.12874846,0.12444965,0.14484201,74.138556,79.159019,148.27711,158.31804,222.41567,237.47706,296.55422,316.63608,370.69278,395.7951,444.83133,474.95412,518.96989,554.11314,593.10845,633.27216,667.247,712.43117
0.2375,0.014427954,0.016564955,0.028855909,0.033129909,0.043283863,0.049694864,0.057711818,0.066259818,0.072139772,0.082824773,0.086567727,0.099389727,0.10099568,0.11595468,0.11542364,0.13251964,0.12985159,0.14908459,76.816708,81.678625,153.63342,163.35725,230.45012,245.03587,307.26683,326.7145,384.08354,408.39312,460.90025,490.07175,537.71695,571.75037,614.53366,653.429,691.35037,735.10762
0.2500,0.015002221,0.017008726,0.030004443,0.034017452,0.045006664,0.051026178,0.060008886,0.068034904,0.075011107,0.08504363,0.090013328,0.10205236,0.10501555,0.11906108,0.12001777,0.13606981,0.13501999,0.15307853,79.36675,84.051334,158.7335,168.10267,238.10025,252.154,317.467,336.20534,396.83375,420.25667,476.2005,504.308,555.56725,588.35934,634.934,672.41067,714.30075,756.46201
0.2625,0.015549507,0.017424132,0.031099015,0.034848263,0.046648522,0.052272395,0.062198029,0.069696526,0.077747537,0.087120658,0.093297044,0.10454479,0.10884655,0.12196892,0.12439606,0.13939305,0.13994557,0.15681718,81.784429,86.27288,163.56886,172.54576,245.35329,258.81864,327.13772,345.09152,408.92215,431.3644,490.70658,517.63728,572.49101,603.91016,654.27544,690.18304,736.05987,776.45592
0.2750,0.016068828,0.017810478,0.032137656,0.035620957,0.048206484,0.053431435,0.064275312,0.071241913,0.08034414,0.089052392,0.096412968,0.10686287,0.1124818,0.12467335,0.12855062,0.14248383,0.14461945,0.1602943,84.065715,88.339267,168.13143,176.67853,252.19714,265.0178,336.26286,353.35707,420.32857,441.69633,504.39429,530.0356,588.46,618.37487,672.52572,706.71413,756.59143,795.0534
0.2875,0.016559249,0.018167122,0.033118499,0.036334244,0.049677748,0.054501366,0.066236998,0.072668488,0.082796247,0.09083561,0.099355497,0.10900273,0.11591475,0.12716985,0.132474,0.14533698,0.14903324,0.1635041,86.206801,90.246779,172.4136,180.49356,258.6204,270.74034,344.8272,360.98711,431.034,451.23389,517.24081,541.48067,603.44761,631.72745,689.65441,721.97423,775.86121,812.22101
0.3000,0.01701989,0.018493468,0.034039779,0.036986935,0.051059669,0.055480403,0.068079559,0.073973871,0.085099448,0.092467339,0.10211934,0.11096081,0.11913923,0.12945427,0.13615912,0.14794774,0.15317901,0.16644121,88.204117,91.991985,176.40823,183.98397,264.61235,275.97595,352.81647,367.96794,441.02059,459.95992,529.2247,551.95191,617.42882,643.94389,705.63294,735.93588,793.83706,827.92786
0.3125,0.01744992,0.018788971,0.03489984,0.037577943,0.05234976,0.056366914,0.069799681,0.075155885,0.087249601,0.093944857,0.10469952,0.11273383,0.12214944,0.1315228,0.13959936,0.15031177,0.15704928,0.16910074,90.054333,93.571746,180.10867,187.14349,270.163,280.71524,360.21733,374.28699,450.27167,467.85873,540.326,561.43048,630.38033,655.00222,720.43467,748.57397,810.489,842.14572
0.3250,0.017848568,0.01905314,0.035697135,0.03810628,0.053545703,0.05715942,0.07139427,0.07621256,0.089242838,0.0952657,0.10709141,0.11431884,0.12493997,0.13337198,0.14278854,0.15242512,0.16063711,0.17147826,91.754362,94.983222,183.50872,189.96644,275.26309,284.94967,367.01745,379.93289,458.77181,474.91611,550.52617,569.89933,642.28054,664.88256,734.0349,759.86578,825.78926,854.849
0.3375,0.018215115,0.019285533,0.03643023,0.038571066,0.054645345,0.0578566,0.07286046,0.077142133,0.091075575,0.096427666,0.10929069,0.1157132,0.1275058,0.13499873,0.14572092,0.15428427,0.16393603,0.1735698,93.30137,96.223874,186.60274,192.44775,279.90411,288.67162,373.20548,384.8955,466.50685,481.11937,559.80822,577.34325,653.10959,673.56712,746.41096,769.79099,839.71233,866.01487
0.3500,0.018548903,0.019485763,0.037097806,0.038971527,0.055646709,0.05845729,0.074195612,0.077943053,0.092744515,0.097428816,0.11129342,0.11691458,0.12984232,0.13640034,0.14839122,0.15588611,0.16694013,0.17537187,94.692776,97.291471,189.38555,194.58294,284.07833,291.87441,378.7711,389.16588,473.46388,486.45735,568.15666,583.74883,662.84943,681.0403,757.54221,778.33177,852.23499,875.62324
0.3625,0.018849332,0.019653496,0.037698663,0.039306993,0.056547995,0.058960489,0.075397326,0.078613985,0.094246658,0.098267482,0.11309599,0.11792098,0.13194532,0.13757447,0.15079465,0.15722797,0.16964398,0.17688147,95.92626,98.184092,191.85252,196.36818,287.77878,294.55228,383.70504,392.73637,479.6313,490.92046,575.55756,589.10455,671.48382,687.28865,767.41008,785.47274,863.33634,883.65683
0.3750,0.01911586,0.019788453,0.038231721,0.039576905,0.057347581,0.059365358,0.076463441,0.079153811,0.095579301,0.098942263,0.11469516,0.11873072,0.13381102,0.13851917,0.15292688,0.15830762,0.17204274,0.17809607,96.999765,98.900133,193.99953,197.80027,290.99929,296.7004,387.99906,395.60053,484.99882,494.50066,581.99859,593.4008,678.99835,692.30093,775.99812,791.20106,872.99788,890.10119
0.3875,0.01934801,0.019890407,0.03869602,0.039780814,0.058044029,0.059671221,0.077392039,0.079561628,0.096740049,0.099452036,0.11608806,0.11934244,0.13543607,0.13923285,0.15478408,0.15912326,0.17413209,0.17901366,97.9115,99.438305,195.823,198.87661,293.7345,298.31491,391.646,397.75322,489.5575,497.19152,587.469,596.62983,685.3805,696.06813,783.292,795.50644,881.2035,894.94474
0.4000,0.019545362,0.01995919,0.039090725,0.039918379,0.058636087,0.059877569,0.07818145,0.079836759,0.097726812,0.099795949,0.11727217,0.11975514,0.13681754,0.13971433,0.1563629,0.15967352,0.17590826,0.17963271,98.659945,99.79764,197.31989,199.59528,295.97984,299.39292,394.63978,399.19056,493.29973,498.9882,591.95967,598.78584,690.61962,698.58348,789.27956,798.38112,887.93951,898.17876
0.4125,0.019707564,0.019994686,0.039415127,0.039989372,0.059122691,0.059984057,0.078830254,0.079978743,0.098537818,0.099973429,0.11824538,0.11996811,0.13795294,0.1399628,0.15766051,0.15995749,0.17736807,0.17995217,99.243852,99.977493,198.4877,199.95499,297.73156,299.93248,396.97541,399.90997,496.21926,499.88747,595.46311,599.86496,694.70696,699.84245,793.95081,799.81995,893.19467,899.79744
0.4250,0.019834321,0.019996836,0.039668642,0.039993672,0.059502964,0.059990508,0.079337285,0.079987344,0.099171606,0.09998418,0.11900593,0.11998102,0.13884025,0.13997785,0.15867457,0.15997469,0.17850889,0.17997152,99.662247,99.97754,199.32449,199.95508,298.98674,299.93262,398.64899,399.91016,498.31123,499.8877,597.97348,599.86524,697.63573,699.84278,797.29797,799.82032,896.96022,899.79786
0.4375,0.019925408,0.019965637,0.039850815,0.039931274,0.059776223,0.059896911,0.07970163,0.079862548,0.099627038,0.099828185,0.11955245,0.11979382,0.13947785,0.13975946,0.15940326,0.1597251,0.17932867,0.17969073,99.914431,99.797781,199.82886,199.59556,299.74329,299.39334,399.65773,399.19112,499.57216,498.9889,599.48659,598.78668,699.40102,698.58447,799.31545,798.38225,899.22988,898.18003
0.4500,0.019980659,0.019901141,0.039961317,0.039802281,0.059941976,0.059703422,0.079922635,0.079604563,0.099903293,0.099505703,0.11988395,0.11940684,0.13986461,0.13930798,0.15984527,0.15920913,0.17982593,0.17911027,99.999986,99.438539,199.99997,198.87708,299.99996,298.31562,399.99994,397.75415,499.99993,497.19269,599.99992,596.63123,699.9999,696.06977,799.99989,795.50831,899.99987,894.94685
0.4625,0.019999975,0.019803455,0.039999951,0.039606909,0.059999926,0.059410364,0.079999901,0.079213818,0.099999877,0.099017273,0.11999985,0.11882073,0.13999983,0.13862418,0.1599998,0.15842764,0.17999978,0.17823109,99.918767,98.900459,199.83753,197.80092,299.7563,296.70138,399.67507,395.60184,499.59384,494.5023,599.5126,593.40276,699.43137,692.30322,799.35014,791.20368,899.26891,890.10414
0.4750,0.019983323,0.019672742,0.039966645,0.039345483,0.059949968,0.059018225,0.079933291,0.078690966,0.099916613,0.098363708,0.11989994,0.11803645,0.13988326,0.13770919,0.15986658,0.15738193,0.1798499,0.17705467,99.670911,98.184511,199.34182,196.36902,299.01273,294.55353,398.68364,392.73805,498.35455,490.92256,598.02547,589.10707,697.69638,687.29158,797.36729,785.47609,897.0382,883.6606
0.4875,0.019930731,0.01950922,0.039861461,0.039018439,0.059792192,0.058527659,0.079722923,0.078036879,0.099653654,0.097546099,0.11958438,0.11705532,0.13951512,0.13656454,0.15944585,0.15607376,0.17937658,0.17558298,99.25683,97.291982,198.51366,194.58396,297.77049,291.87595,397.02732,389.16793,496.28415,486.45991,595.54098,583.75189,694.79781,681.04387,794.05464,778.33585,893.31147,875.62784
0.5000,0.019842294,0.019313162,0.039684588,0.038626324,0.059526882,0.057939485,0.079369176,0.077252647,0.09921147,0.096565809,0.11905376,0.11587897,0.13889606,0.13519213,0.15873835,0.15450529,0.17858065,0.17381846,98.677216,96.224476,197.35443,192.44895,296.03165,288.67343,394.70886,384.8979,493.38608,481.12238,592.0633,577.34685,690.74051,673.57133,789.41773,769.79581,888.09494,866.02028
0.5125,0.019718172,0.019084895,0.039436343,0.038169789,0.059154515,0.057254684,0.078872687,0.076339579,0.098590858,0.095424473,0.11830903,0.11450937,0.1380272,0.13359426,0.15774537,0.15267916,0.17746354,0.17176405,97.933035,94.983913,195.86607,189.96783,293.7991,284.95174,391.73214,379.93565,489.66517,474.91957,587.59821,569.90348,685.53124,664.88739,783.46428,759.87131,881.39731,854.85522
0.5250,0.019558587,0.018824799,0.039117174,0.037649598,0.05867576,0.056474397,0.078234347,0.075299196,0.097792934,0.094123995,0.11735152,0.11294879,0.13691011,0.13177359,0.15646869,0.15059839,0.17602728,0.16942319,97.025527,93.572526,194.05105,187.14505,291.07658,280.71758,388.10211,374.2901,485.12764,467.86263,582.15316,561.43515,679.17869,655.00768,776.20422,748.58021,873.22974,842.15273
0.5375,0.019363827,0.018533309,0.038727653,0.037066618,0.05809148,0.055599926,0.077455306,0.074133235,0.096819133,0.092666544,0.11618296,0.11119985,0.13554679,0.12973316,0.15491061,0.14826647,0.17427444,0.16679978,95.956207,91.992851,191.91241,183.9857,287.86862,275.97855,383.82483,367.9714,479.78104,459.96426,575.73724,551.95711,671.69345,643.94996,767.64966,735.94281,863.60586,827.93566
0.5500,0.019134241,0.01821091,0.038268482,0.03642182,0.057402723,0.05463273,0.076536964,0.07284364,0.095671205,0.09105455,0.11480545,0.10926546,0.13393969,0.12747637,0.15307393,0.14568728,0.17220817,0.16389819,94.726858,90.247731,189.45372,180.49546,284.18057,270.74319,378.90743,360.99092,473.63429,451.23865,568.36115,541.48638,663.08801,631.73411,757.81487,721.98184,852.54172,812.22957
0.5625,0.018870243,0.01785814,0.037740487,0.03571628,0.05661073,0.05357442,0.075480973,0.07143256,0.094351216,0.089290701,0.11322146,0.10714884,0.1320917,0.12500698,0.15096195,0.14286512,0.16983219,0.16072326,93.33953,88.340302,186.67906,176.6806,280.01859,265.02091,373.35812,353.36121,466.69765,441.70151,560.03718,530.04181,653.37671,618.38212,746.71624,706.72242,840.05577,795.06272
0.5750,0.018572308,0.017475588,0.037144616,0.034951176,0.055716924,0.052426763,0.074289232,0.069902351,0.09286154,0.087377939,0.11143385,0.10485353,0.13000616,0.12232911,0.14857846,0.1398047,0.16715077,0.15728029,91.796537,86.273997,183.59307,172.54799,275.38961,258.82199,367.18615,345.09599,458.98268,431.36999,550.77922,517.64398,642.57576,603.91798,734.37229,690.19198,826.16883,776.46598
0.5875,0.018240971,0.017063891,0.036481942,0.034127782,0.054722913,0.051191672,0.072963885,0.068255563,0.091204856,0.085319454,0.10944583,0.10238334,0.1276868,0.11944724,0.14592777,0.13651113,0.16416874,0.15357502,90.100452,84.052531,180.2009,168.10506,270.30135,252.15759,360.40181,336.21013,450.50226,420.26266,540.60271,504.31519,630.70316,588.36772,720.80361,672.42025,810.90406,756.47278
0.6000,0.017876828,0.016623736,0.035753657,0.033247472,0.053630485,0.049871208,0.071507314,0.066494943,0.089384142,0.083118679,0.10726097,0.099742415,0.1251378,0.11636615,0.14301463,0.13298989,0.16089146,0.14961362,88.254103,81.6799,176.50821,163.3598,264.76231,245.0397,353.01641,326.7196,441.27051,408.3995,529.52462,490.0794,617.77872,571.7593,706.03282,653.4392,794.28693,735.1191
0.6125,0.017480535,0.016155857,0.03496107,0.032311714,0.052441605,0.048467571,0.06992214,0.064623428,0.087402675,0.080779285,0.10488321,0.096935142,0.12236374,0.113091,0.13984428,0.12924686,0.15732481,0.14540271,86.26057,79.16037,172.52114,158.32074,258.78171,237.48111,345.04228,316.64148,431.30285,395.80185,517.56342,474.96222,603.82399,554.12259,690.08456,633.28296,776.34513,712.44333
0.6250,0.017052803,0.015661035,0.034105607,0.031322069,0.05115841,0.046983104,0.068211213,0.062644138,0.085264016,0.078305173,0.10231682,0.093966207,0.11936962,0.10962724,0.13642243,0.12528828,0.15347523,0.14094931,84.123178,76.498472,168.24636,152.99694,252.36953,229.49542,336.49271,305.99389,420.61589,382.49236,504.73907,458.99083,588.86225,535.48931,672.98542,611.98778,757.1086,688.48625
0.6375,0.016594403,0.015140094,0.033188805,0.030280187,0.049783208,0.045420281,0.066377611,0.060560375,0.082972014,0.075700468,0.099566416,0.090840562,0.11616082,0.10598066,0.13275522,0.12112075,0.14934962,0.13626084,81.845491,73.698995,163.69098,147.39799,245.53647,221.09699,327.38196,294.79598,409.22745,368.49498,491.07295,442.19397,572.91844,515.89297,654.76393,589.59196,736.60942,663.29096
0.6500,0.016106158,0.014593903,0.032212315,0.029187806,0.048318473,0.043781709,0.064424631,0.058375613,0.080530789,0.072969516,0.096636946,0.087563419,0.1127431,0.10215732,0.12884926,0.11675123,0.14495542,0.13134513,79.431308,70.766973,158.86262,141.53395,238.29392,212.30092,317.72523,283.06789,397.15654,353.83487,476.58785,424.60184,556.01915,495.36881,635.45046,566.13578,714.88177,636.90276
0.6625,0.015588946,0.014023374,0.031177893,0.028046748,0.046766839,0.042070122,0.062355785,0.056093496,0.077944732,0.07011687,0.093533678,0.084140244,0.10912262,0.098163618,0.12471157,0.11218699,0.14030052,0.12621037,76.884654,67.707679,153.76931,135.41536,230.65396,203.12304,307.53862,270.83072,384.42327,338.53839,461.30793,406.24607,538.19258,473.95375,615.07723,541.66143,691.96189,609.36911
0.6750,0.015043699,0.013429458,0.030087397,0.026858915,0.045131096,0.040288373,0.060174795,0.05371783,0.075218494,0.067147288,0.090262192,0.080576745,0.10530589,0.094006203,0.12034959,0.10743566,0.13539329,0.12086512,74.209778,64.526615,148.41956,129.05323,222.62933,193.57984,296.83911,258.10646,371.04889,322.63307,445.25867,387.15969,519.46845,451.6863,593.67822,516.21292,667.888,580.73953
0.6875,0.014471396,0.012813144,0.028942791,0.025626289,0.043414187,0.038439433,0.057885582,0.051252577,0.072356978,0.064065722,0.086828374,0.076878866,0.10129977,0.089692011,0.11577116,0.10250515,0.13024256,0.1153183,71.41114,61.229501,142.82228,122.459,214.23342,183.6885,285.64456,244.91801,357.0557,306.14751,428.46684,367.37701,499.87798,428.60651,571.28912,489.83601,642.70026,551.06551
0.7000,0.013873066,0.012175462,0.027746132,0.024350925,0.041619198,0.036526387,0.055492264,0.048701849,0.069365331,0.060877312,0.083238397,0.073052774,0.097111463,0.085228236,0.11098453,0.097403699,0.1248576,0.10957916,68.493407,57.822269,136.98681,115.64454,205.48022,173.46681,273.97363,231.28908,342.46703,289.11135,410.96044,346.93361,479.45385,404.75588,547.94725,462.57815,616.44066,520.40042
0.7125,0.013249786,0.011517475,0.026499573,0.02303495,0.039749359,0.034552425,0.052999146,0.0460699,0.066248932,0.057587375,0.079498718,0.069104849,0.092748505,0.080622324,0.10599829,0.092139799,0.11924808,0.10365727,65.461445,54.311045,130.92289,108.62209,196.38434,162.93314,261.84578,217.24418,327.30723,271.55523,392.76867,325.86627,458.23012,380.17732,523.69156,434.48836,589.15301,488.79941
0.7250,0.012602677,0.010840279,0.025205355,0.021680559,0.037808032,0.032520838,0.05041071,0.043361118,0.063013387,0.054201397,0.075616065,0.065041677,0.088218742,0.075881956,0.10082142,0.086722235,0.1134241,0.097562515,62.320311,50.702145,124.64062,101.40429,186.96093,152.10644,249.28125,202.80858,311.60156,253.51073,373.92187,304.21287,436.24218,354.91502,498.56249,405.61716,560.8828,456.31931
0.7375,0.011932903,0.010145005,0.023865806,0.020290011,0.035798709,0.030435016,0.047731612,0.040580021,0.059664515,0.050725026,0.071597418,0.060870032,0.083530321,0.071015037,0.095463224,0.081160042,0.10739613,0.091305047,59.075244,47.002059,118.15049,94.004118,177.22573,141.00618,236.30098,188.00824,295.37622,235.01029,354.45147,282.01235,413.52671,329.01441,472.60195,376.01647,531.6772,423.01853
0.7500,0.011241668,0.009432812,0.022483335,0.018865624,0.033725003,0.028298436,0.04496667,0.037731248,0.056208338,0.04716406,0.067450005,0.056596872,0.078691673,0.066029684,0.08993334,0.075462496,0.10117501,0.084895308,55.731656,43.217441,111.46331,86.434882,167.19497,129.65232,222.92662,172.86976,278.65828,216.08721,334.38993,259.30465,390.12159,302.52209,445.85324,345.73953,501.5849,388.95697
0.7625,0.010530214,0.0087048873,0.021060429,0.017409775,0.031590643,0.026114662,0.042120858,0.034819549,0.052651072,0.043524436,0.063181286,0.052229324,0.073711501,0.060934211,0.084241715,0.069639098,0.09477193,0.078343985,52.295121,39.355098,104.59024,78.710196,156.88536,118.06529,209.18049,157.42039,261.47561,196.77549,313.77073,236.13059,366.06585,275.48569,418.36097,314.84078,470.65609,354.19588
0.7750,0.009799823,0.0079624452,0.019599646,0.01592489,0.029399469,0.023887335,0.039199292,0.031849781,0.048999115,0.039812226,0.058798938,0.047774671,0.068598761,0.055737116,0.078398584,0.063699561,0.088198407,0.071662006,48.771373,35.421976,97.542746,70.843953,146.31412,106.26593,195.08549,141.68791,243.85686,177.10988,292.62824,212.53186,341.39961,247.95383,390.17098,283.37581,438.94236,318.79779
